Node,Depth,Value
B3,5,47
B4,5,47
B5,5,52
B4,5,52
B4,5,52
B5,5,51
B4,5,52
B4,5,52
B5,5,47
B4,5,52
B3,5,52
B5,5,24
B3,5,52
B2,5,52
B4,5,16
B2,5,52
B5,5,3
B2,5,52
A2,4,52
B3,5,9
A2,4,52
B4,5,9
A2,4,52
B5,5,-5
A2,4,52
A3,4,52
A3,4,-Infinity
B2,5,0
A3,4,0
B3,5,11
A3,4,11
B4,5,11
A3,4,11
B5,5,-2
A3,4,11
A3,4,11
A4,4,-Infinity
B2,5,-13
A4,4,-13
B3,5,-2
A4,4,-2
B4,5,-2
A4,4,-2
B5,5,-16
A4,4,-2
A3,4,-2
A5,4,-Infinity
B2,5,-13
A5,4,-13
B3,5,-2
A5,4,-2
B4,5,-2
A5,4,-2
B5,5,-16
A5,4,-2
A3,4,-2
B5,3,-2
A4,4,-Infinity
B2,5,3
A4,4,3
B3,5,14
A4,4,14
B4,5,14
A4,4,14
B5,5,-Infinity
B2,5,7
B5,5,7
B3,5,-Infinity
B2,5,27
B3,5,27
B3,5,21
B3,5,27
B4,5,38
B3,5,38
B5,5,22
B3,5,38
B5,5,38
B4,5,18
B5,5,38
B5,5,2
B5,5,38
A4,4,38
B5,3,-2
A5,4,-Infinity
B2,5,3
A5,4,3
B3,5,14
A5,4,14
B4,5,14
A5,4,14
B5,5,-Infinity
B2,5,7
B5,5,7
B3,5,-Infinity
B2,5,27
B3,5,27
B3,5,21
B3,5,27
B4,5,38
B3,5,38
B5,5,22
B3,5,38
B5,5,38
B4,5,18
B5,5,38
B5,5,2
B5,5,38
A5,4,38
B5,3,-2
A2,2,3
B2,1,3
A3,2,-Infinity
B2,3,Infinity
A2,4,-Infinity
B2,5,-11
A2,4,-11
B3,5,3
A2,4,3
B4,5,3
A2,4,3
B5,5,3
A2,4,3
B2,3,3
A3,4,-Infinity
B2,5,-Infinity
B3,5,15
B2,5,15
B4,5,15
B2,5,15
B5,5,15
B2,5,15
A3,4,15
B3,5,-Infinity
B2,5,16
B3,5,16
B3,5,16
B3,5,16
B4,5,30
B3,5,30
B5,5,30
B3,5,30
A3,4,30
B4,5,-Infinity
B2,5,16
B4,5,16
B3,5,30
B4,5,30
B4,5,16
B4,5,30
B5,5,30
B4,5,30
A3,4,30
B5,5,-Infinity
B2,5,16
B5,5,16
B3,5,30
B5,5,30
B4,5,30
B5,5,30
B5,5,16
B5,5,30
A3,4,30
B2,3,3
A4,4,-Infinity
B2,5,-11
A4,4,-11
B3,5,3
A4,4,3
B4,5,3
A4,4,3
B5,5,3
A4,4,3
B2,3,3
A5,4,-Infinity
B2,5,-11
A5,4,-11
B3,5,3
A5,4,3
B4,5,3
A5,4,3
B5,5,3
A5,4,3
B2,3,3
A3,2,3
B3,3,Infinity
A2,4,-Infinity
B2,5,2
A2,4,2
B3,5,-1
A2,4,2
B4,5,13
A2,4,13
B5,5,13
A2,4,13
B3,3,13
A3,4,-Infinity
B2,5,-Infinity
B2,5,-Infinity
B3,5,18
B2,5,18
B4,5,-Infinity
B2,5,34
B4,5,34
B3,5,36
B4,5,36
B4,5,34
B4,5,36
B5,5,-Infinity
B2,5,55
B5,5,55
B3,5,57
B5,5,57
B4,5,55
B5,5,57
B5,5,53
B5,5,57
B4,5,57
B2,5,57
B5,5,32
B2,5,57
B2,5,57
B3,5,-Infinity
B2,5,18
B3,5,18
B3,5,17
B3,5,18
B4,5,34
B3,5,34
B5,5,34
B3,5,34
B2,5,57
B4,5,30
B2,5,57
B5,5,-Infinity
B2,5,33
B5,5,33
B3,5,35
B5,5,35
B4,5,49
B5,5,49
B5,5,33
B5,5,49
B2,5,57
A3,4,57
B3,5,11
A3,4,57
B4,5,25
A3,4,57
B5,5,25
A3,4,57
B3,3,13
A4,4,-Infinity
B2,5,3
A4,4,3
B3,5,0
A4,4,3
B4,5,14
A4,4,14
B5,5,14
A4,4,14
B3,3,13
A5,4,-Infinity
B2,5,3
A5,4,3
B3,5,0
A5,4,3
B4,5,14
A5,4,14
B5,5,14
A5,4,14
B3,3,13
A3,2,13
B4,3,Infinity
A2,4,-Infinity
B2,5,2
A2,4,2
B3,5,13
A2,4,13
B4,5,-1
A2,4,13
B5,5,13
A2,4,13
B4,3,13
A3,4,-Infinity
B2,5,-Infinity
B2,5,-Infinity
B3,5,31
B2,5,31
B4,5,18
B2,5,31
B5,5,32
B2,5,32
B2,5,32
B3,5,30
B2,5,32
B4,5,17
B2,5,32
B5,5,-Infinity
B2,5,33
B5,5,33
B3,5,49
B5,5,49
B4,5,35
B5,5,49
B5,5,33
B5,5,49
B2,5,49
A3,4,49
B3,5,25
A3,4,49
B4,5,11
A3,4,49
B5,5,25
A3,4,49
B4,3,13
A4,4,-Infinity
B2,5,3
A4,4,3
B3,5,14
A4,4,14
B4,5,0
A4,4,14
B5,5,14
A4,4,14
B4,3,13
A5,4,-Infinity
B2,5,3
A5,4,3
B3,5,14
A5,4,14
B4,5,0
A5,4,14
B5,5,14
A5,4,14
B4,3,13
A3,2,13
B5,3,Infinity
A2,4,-Infinity
B2,5,2
A2,4,2
B3,5,13
A2,4,13
B4,5,13
A2,4,13
B5,5,-Infinity
B2,5,6
B5,5,6
B3,5,-Infinity
B2,5,26
B3,5,26
B3,5,20
B3,5,26
B4,5,37
B3,5,37
B5,5,21
